,Node,count,closeness,betweenness
115,device,7630,0.4423148148148148,0.0013395396265098037
116,guy,7594,0.44442721577870126,0.0019401136871928064
117,character,7437,0.4412797142505235,0.001478727160959128
118,games,7384,0.4429163060946965,0.001996131357067746
119,number,7102,0.44485488126649075,0.00141556221473799
120,bloxburg,6994,0.44380787216252204,0.0012971813133674278
121,tell,6861,0.44194652604311224,0.0019404553833379092
122,graphic,6740,0.4438766028619216,0.0013871983007232417
123,meet,6672,0.44185114386138,0.0008720759521724274
124,choose,6631,0.44671300769926126,0.0011707890245392497
125,talk,6605,0.4465598903153434,0.001356937430699902
126,bit,6570,0.44508975712777193,0.0017153798087027755
127,spend,6549,0.4445512919936719,0.0014803432863509023
128,nothing,6534,0.4424513738808274,0.0016442108972716917
129,age,6487,0.444772043077496,0.001683715047435439
130,tag,6476,0.4451174058889303,0.001063258977186665
131,computer,6274,0.44850248802929304,0.0014011371529661651
132,report,6274,0.4448272651084831,0.0013701704523192849
133,happy,6224,0.4450206502499767,0.0015490479989909102
134,wrong,6186,0.44415173867228663,0.0010811227868443678
135,crash,6119,0.44817988491368527,0.0009628237572669238
136,item,6001,0.4456849634582491,0.0014273780762420643
137,child,5958,0.4477597950384303,0.0020978410942214466
138,fine,5956,0.4423011635443351,0.0011315401256564456
139,camera,5951,0.4485305624237113,0.000837822666761338
140,upgrade,5740,0.44961410554056597,0.000746361060568171
141,tho,5737,0.44174218605511373,0.0008025936292548588
142,leave,5735,0.4421783400185128,0.0012204475106324995
143,able,5725,0.44262902677826854,0.001532449316136096
144,open,5614,0.44941670847967885,0.0009705760333306223
145,connection,5521,0.44854460093896714,0.0006011789191415846
146,name,5447,0.44837619673362117,0.0024663968406985655
147,kinda,5342,0.44735445606368035,0.001163434460259136
148,server,5337,0.44335478282390794,0.0012239941019722299
149,bored,5216,0.44903650321165595,0.0006384713343868353
150,tablet,5167,0.4462400747314339,0.0012025025468068553
151,chat,5157,0.44491012387072737,0.0010363614518168324
152,someone,5152,0.4450206502499767,0.001486237632774377
153,long,5104,0.4462539702310519,0.0009342784126245075
154,show,5084,0.44497919642302675,0.0015208720820772635
155,easy,5080,0.4437941285767373,0.0013155057750983822
156,pet,5047,0.450221482202884,0.00136235220772611
157,call,5040,0.4448134583152275,0.00210217418235884
158,freeze,5036,0.4481518543998999,0.0007386684718660774
159,cost,5005,0.448207918934134,0.0009479834489330622
160,lose,4995,0.44608728132976405,0.0012236544391415615
161,kind,4893,0.44246503442526786,0.0011364254512788248
162,control,4873,0.44543561371336216,0.0012123862825276232
163,other,4803,0.44422057592759057,0.0011235224958587905
164,disconnect,4758,0.44917724494593325,0.0006258040549056676
165,clothe,4706,0.4458652230726153,0.0007929540931403581
166,sure,4693,0.4444685668207053,0.0014212142509077283
167,right,4686,0.4463234607119499,0.0013452185921272782
168,favourite,4545,0.4475500452827832,0.0010108660440278554
169,glitchy,4533,0.4491068630523347,0.0007532767290250927
170,perfect,4471,0.44850248802929304,0.0010004011990867232
171,turn,4437,0.44782975532014624,0.00107468513225967
172,feel,4413,0.4484323174166093,0.0016470122764531653
173,button,4338,0.4466851603653025,0.0007948430316332939
174,option,4237,0.44768985661178967,0.001060982883702271
175,error,4228,0.44840425531914896,0.000586998588910102
176,scammer,4221,0.4467687127848614,0.0007343286102460502
177,big,4214,0.44386285501904793,0.0013938865679696214
178,review,4190,0.4431491388107239,0.0012170371663026657
179,scam,4015,0.4469777306468717,0.0008786922003319401
180,hour,4013,0.451114328884412,0.0010681725860140746
181,bye,4001,0.44714508580343215,0.0010623327536207826
182,whole,3980,0.44193289749599113,0.00092825405692168
183,check,3965,0.44810981520277665,0.0008582014384462739
184,tycoon,3960,0.45289637518566506,0.001083950514130694
185,date,3959,0.4487271816388515,0.0009968466547562666
186,slow,3957,0.4512847965738758,0.0008045910421262164
187,sign,3948,0.4486288504883546,0.0006433786610203177
188,simulator,3898,0.45091561261091184,0.0011680169007845511
189,chromebook,3889,0.4547935641522008,0.000527732323536567
190,ill,3880,0.4463929728382756,0.0009966580655177586
191,person,3860,0.44706139256301475,0.0011443815267500302
192,edit,3840,0.44788573928805825,0.0010257070265634184
193,read,3836,0.44743825907771084,0.001200447950796251
194,install,3830,0.44794173725502456,0.0005484839060755684
195,safe,3799,0.4448272651084831,0.0008852208776941702
196,platform,3775,0.44937443165783447,0.0013029069404833229
197,user,3752,0.44710323526658974,0.0013568514273325568
198,sad,3697,0.44630956088445967,0.0009228999172569267
199,month,3658,0.4448686906314025,0.0008525397477558591
200,yeah,3615,0.446935911429908,0.000891519223806696
201,roleplay,3593,0.4487271816388515,0.0007185579425783236
202,full,3554,0.4474103212512878,0.0009575161027160065
203,remove,3547,0.44937443165783447,0.0010863638735339794
204,ton,3535,0.44256068186029274,0.0004959672357187438
205,space,3525,0.44981167608286254,0.000623458156145403
206,creative,3497,0.45127058601253267,0.0007419108140747383
