,Node,count,closeness,betweenness
45,let,2006,0.46982181843791815,0.004429483147156777
46,think,1961,0.47045133991537375,0.00783826465348334
47,thank,1955,0.4652671223322639,0.006636639359536098
48,add,1918,0.47450032007966425,0.007508634798486038
49,coin,1901,0.4657218654007261,0.0031094936039517103
50,cool,1873,0.4624930671103716,0.003908144962617405
51,item,1871,0.46820606400898374,0.0037509011259034527
52,hope,1863,0.46982181843791815,0.005441214350234516
53,video,1856,0.46374695863746956,0.0034840208086902654
54,need,1803,0.4638114440659111,0.005367886664682843
55,avatar,1765,0.462910276871834,0.004147662043632959
56,money,1704,0.4709827732279017,0.00406259110077993
57,load,1697,0.46178873044441365,0.002526154959691214
58,put,1662,0.46604722649154673,0.004303112950146729
59,bug,1654,0.4680746561886051,0.003052047187956421
60,buy,1648,0.46003723881111647,0.0029164063812164268
61,clothe,1633,0.4697556510104922,0.0042128243875881625
62,change,1576,0.46006896551724136,0.0036890613745357488
63,day,1553,0.46676462356563114,0.004332395555892082
64,way,1537,0.46627524987768226,0.004806870972693794
65,hard,1530,0.46630784286313437,0.002887516357133591
66,post,1466,0.4605135993372912,0.0019902952933968415
67,look,1422,0.4619486185167232,0.004588271962025
68,laggy,1390,0.46374695863746956,0.002124631658382266
69,screen,1299,0.4633604223102035,0.002287789475755525
70,hate,1293,0.46487804878048783,0.0025424871413897423
71,watch,1288,0.460768061887001,0.002511349405089121
72,guy,1238,0.47134883063661415,0.004158962585589327
73,create,1226,0.4647808820455654,0.0026699492078998354
74,log,1192,0.47218289920724804,0.0019027903235861135
75,error,1180,0.4676153091265947,0.0016895411513270604
76,start,1175,0.4583934583934584,0.0023423575892156877
77,glitch,1145,0.47128223242670436,0.0027312084571694734
78,come,1107,0.47068369434840895,0.0038734410053799795
79,show,1102,0.46175676611061117,0.0017402420987110863
80,help,1087,0.46909500035159274,0.0025488484739026244
81,install,1057,0.4637147226470179,0.0014089468079435561
82,turn,1024,0.47071690657634774,0.0019333113540629628
83,rate,1022,0.46423103688239387,0.002246658798122359
84,earn,1021,0.4653969582810102,0.0012827764664629206
85,cute,1013,0.4657543810654193,0.002455007766919789
86,like,987,0.4709162784131018,0.0026551473424486893
87,enter,985,0.47041816515055357,0.00170135495721705
